,Unnamed: 0,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,k_cluster
27059,27059.0,Ziv Zaifman,0.243,0.265,269453.0,0.312,0.0,0.0893,-11.689,0.0569,54.747,0.0998,75.0,7,1,1,5
3688,3688.0,Canciones De Cuna,0.0,0.0,73887.0,2.01e-05,0.0,0.0,-15.776,0.0,0.0,0.0,74.0,5,1,2,5
3649,3649.0,Calming Sounds,0.0,0.0,73887.0,2.01e-05,0.0,0.0,-15.776,0.0,0.0,0.0,74.0,5,1,1,5
1323,1323.0,Anson Seabra,0.9473333333333332,0.5724999999999999,236545.83333333328,0.1114,1.4383333333333337e-06,0.16696666666666668,-14.874833333333335,0.058266666666666675,118.7145,0.3256666666666667,70.16666666666667,4,1,12,5
8488,8488.0,Gary Jules,0.976,0.345,189507.0,0.0581,0.000366,0.103,-17.217,0.0374,174.11700000000005,0.304,70.0,3,1,1,5
16240,16240.0,Michael Andrews,0.976,0.345,189507.0,0.0581,0.000366,0.103,-17.217,0.0374,174.11700000000005,0.304,70.0,3,1,2,5
13317,13317.0,Kristle Edwards,0.787,0.306,177787.0,0.132,0.0,0.57,-19.31,0.0538,78.46,0.473,68.0,5,1,2,5
24353,24353.0,The Noise Project,0.96,0.0,160847.0,0.0354,0.00868,0.0923,-47.731,0.0,0.0,0.0,68.0,2,1,2,5
9531,9531.0,Haley Reinhart,0.8220000000000001,0.35100000000000003,228217.0,0.20375,9.25e-06,0.108,-11.4805,0.0354,157.65200000000004,0.2375,66.5,5,1,4,5
20,20.0,((( O ))),0.847,0.41,311837.0,0.16899999999999998,0.0032700000000000003,0.117,-11.422,0.0485,89.494,0.208,66.0,3,1,2,5
1780,1780.0,Austyn Johnson,0.726,0.253,60453.0,0.139,5.01e-05,0.269,-17.067,0.0414,74.369,0.102,66.0,6,1,1,5
